card_number,expiry_month,expiry_year,cvv
5200827412729090,04,2028,293
4242426976164258,03,2030,047
2223008842571275,06,2030,288
4000002392618540,03,2031,683
4000000844465528,10,2031,519
2223008940593775,09,2032,655
5105102167797395,09,2032,307
5105107597134176,12,2031,066
4012882488077701,08,2030,698
370000606079087,12,2032,7667
4111115717884302,02,2033,017
5105105774123657,04,2030,119
4111111040917240,09,2028,162
4111110238998491,04,2033,291
4012884545979325,07,2028,574
4111117250657798,06,2030,954
4000006076537116,04,2026,128
5105100302076881,01,2031,370
5301257070588968,09,2032,357
4111110684552727,06,2026,868
5301255016775426,10,2031,353
370000142073677,10,2033,0459
2223009301709125,08,2031,444
5105105875279432,12,2026,867
370000220594875,07,2028,2241
2223004971307748,02,2028,387
370000247224605,10,2032,4950
340000656831087,04,2029,8978
4012882948238836,04,2028,029
4242428932269908,02,2033,559
2223007934038193,04,2026,837
4000005314110215,10,2031,770
4012889986585408,03,2027,074
4242422440426977,04,2028,041
4242422135882765,09,2028,530
370000182867921,02,2028,9397
4012887005254113,02,2033,141
4000001277079067,06,2028,359
340000466719449,08,2027,1828
340000089074180,07,2032,5651
340000849970982,02,2031,4356
340000480347672,02,2032,0420
2223001433962441,01,2030,265
4012889301169839,06,2033,710
4012885120915790,08,2033,084
5301252364193435,04,2027,486
2223005147128355,04,2032,663
5301251902933781,05,2026,889
4111116325008953,05,2031,870
370000849991130,04,2029,2559
4000000346328182,01,2026,216
5105103200170475,04,2029,109
370000161927902,09,2033,8978
4111118167261153,05,2029,117
4111114172135672,02,2030,356
2223009405153626,11,2031,169
370000064669288,01,2031,5036
5301254543332348,07,2031,819
4242422184549299,04,2027,519
4242429478174494,07,2028,768
2223007397864291,07,2030,606
4012882028848439,09,2032,999
4242425301741004,03,2031,719
2223003023554141,12,2029,282
370000684499405,04,2031,6517
340000435081814,12,2028,3567
5200821681800344,07,2033,172
4111114770860143,03,2033,063
2223000910409967,07,2032,837
2223007647485160,08,2029,772
4111119724611732,04,2031,281
5200824856672837,02,2027,784
5200828051117803,09,2028,417
4012886083863571,07,2033,704
5200821888771686,11,2033,760
4000003996970949,07,2029,254
5301253357350701,10,2026,443
5200824678407420,01,2030,920
4012888204787192,11,2031,159
4000004180724951,08,2029,648
340000451067572,08,2030,3070
4000000552195044,02,2033,079
4242423860761927,05,2031,709
4242425063817638,08,2033,993
5105101508280830,09,2033,353
4000000627750369,04,2030,716
4111115760400808,05,2031,334
4242424998903951,02,2032,435
370000256561590,07,2030,5382
4242422311303255,01,2031,143
4000001286980883,07,2026,517
5301259013673824,08,2027,557
4111113188187511,05,2030,715
5301252837496241,10,2028,786
4242425319546015,03,2028,976
5200826231790135,03,2027,001
4000001197273188,07,2033,225
5301255578635133,04,2028,712
5301258786545722,10,2030,993
4242425044594629,03,2026,841
5301250434986184,09,2031,913
5200820208616001,07,2026,179
2223007590358745,07,2028,694
4111117554794750,08,2028,606
5301258083019702,01,2032,454
5105102639468963,02,2026,484
5105106119493698,12,2032,984
5301254715174213,09,2030,927
2223001330908182,12,2026,788
5301257937072610,04,2029,512
5301254783188335,03,2031,666
370000603919210,09,2033,6310
5105107561741816,07,2029,765
4111113114228207,09,2028,429
2223008451380919,06,2027,886
5105103483634833,09,2028,515
340000698278974,02,2030,2551
4111111463037773,02,2028,005
4012883851893773,06,2030,413
4242421932067901,02,2026,084
5200820853358099,03,2027,773
2223005076116835,08,2031,267
5301255212850494,05,2029,675
4012884515807241,07,2033,956
5200827888808428,07,2029,253
4000000291084947,07,2029,230
2223008074383175,06,2026,599
5200828530772269,08,2026,847
5200828837865378,05,2031,894
2223008754136505,04,2027,253
2223006240183834,04,2027,521
4012885552774632,04,2026,034
4242421984182236,07,2033,278
5200824419859582,01,2029,837
5105108358289985,04,2031,097
340000277441969,11,2027,7922
2223009073357350,07,2033,261
4111111542912210,03,2033,768
370000995908714,02,2029,9210
370000533409902,06,2026,3257
4000007024883172,10,2033,815
340000535892706,07,2032,8802
4242420630851772,09,2032,040
4242422011999089,07,2032,119
5301251267639668,11,2030,432
340000876017244,11,2030,5816
4111115097582393,12,2027,281
370000352791984,08,2028,6576
4012885054131414,02,2030,651
370000896130806,05,2030,6970
2223004436955891,05,2027,926
370000650370820,10,2030,9444
370000266440074,12,2031,7485
340000229582076,10,2032,3497
4111119559251505,06,2031,439
4012884391585069,10,2031,480
2223002365312126,11,2029,899
2223000650962761,02,2031,837
4000009126668535,08,2029,492
5105102932345264,12,2029,590
4000004692323649,06,2029,300
4000000885629974,05,2026,156
5200826334578031,02,2026,266
4012886293369633,10,2026,925
370000085068114,02,2030,8260
4000003761656681,11,2026,228
4012881604799313,11,2028,811
4111111022104650,09,2028,726
4111119464590492,07,2033,799
5105108385633825,03,2026,741
5301253830309985,07,2030,667
2223009258456258,03,2027,212
5301254261952913,04,2033,584
4242424470468101,03,2032,686
2223007309598086,03,2030,377
4242425073105099,07,2032,185
4111111834057468,07,2030,964
5105103267112824,08,2031,199
4012880183125916,08,2027,186
5301252809371240,04,2028,991
4111116571563396,10,2026,421
4000001615811361,02,2029,013
4242424544563945,12,2031,219
340000089047616,11,2027,2412
4242420948962063,10,2030,608
4242428028369174,05,2032,523
4012886808868681,09,2028,208
5105102091283819,10,2032,587
4111117383431632,05,2032,383
4012889225268352,12,2030,773
5105101260863856,11,2030,328
4012881884723058,02,2031,393
5200822313751384,09,2029,540
5200820459446256,01,2032,511
5301250237077389,04,2030,844
5105105545228199,10,2031,619
5301254502747056,08,2033,050
4000009957965273,04,2031,560
4000009939758853,12,2029,282
5105101778557768,11,2029,617
4000008720592091,09,2032,385
2223009500031602,01,2033,739
4000004514203169,09,2031,549
5200827704441461,10,2027,866
5105107627488204,01,2033,323
5105109996567238,07,2029,069
4111114055892605,12,2026,239
5301254502503293,05,2033,066
4000004487781860,04,2029,039
4111112459980984,09,2033,565
2223002420913645,07,2030,442
4111113569389603,03,2030,486
5105109758978615,07,2027,861
5301256046223601,03,2032,914
4111110809476026,09,2027,190
4012889045738477,01,2029,828
4242424094043801,11,2031,971
340000111743026,01,2031,4760
5105100510715817,06,2033,184
4242425732247803,04,2029,037
4012881616389244,08,2033,652
4000005028283514,11,2031,837
4000000336525714,01,2032,858
4242426483144488,05,2028,157
370000970952968,03,2027,9223
4242427139720945,05,2026,172
370000894567371,10,2028,9211
5105107159813985,04,2032,103
340000758952765,04,2031,1627
5105105359184504,05,2026,611
4111118451673436,12,2028,094
5200821717391987,04,2032,991
5200827272810121,03,2029,541
2223004884022111,10,2030,021
4111118419994015,07,2033,164
4000001060330222,12,2032,546
4111111228605468,11,2033,267
340000482468443,10,2028,8300
5301251821467663,09,2029,668
5301258067417575,04,2033,459
5200827450141372,11,2032,637
4012882316088904,04,2028,489
4012886551546641,10,2029,348
4111110973183556,04,2027,837
4012881639084905,11,2032,242
2223000224470630,03,2027,013
340000466192282,02,2029,3481
370000496430077,03,2033,6710
5301253435503776,06,2030,909
340000924550386,02,2033,0326
5301257026592981,11,2030,910
4242426394530320,01,2028,666
5105101473634755,09,2032,265
370000109253536,10,2029,1219
2223000979767966,07,2030,571
5105100211089678,07,2029,918
4012880237731404,10,2033,746
370000285498491,11,2028,1969
4000006958119876,06,2032,817
5301253973896632,11,2030,305
4111115987319542,12,2029,583
4000005960442631,11,2031,111
340000950020239,09,2032,2397
4012880986890187,01,2032,546
4012887899406985,04,2032,961
4012885579390057,11,2033,065
5200821768096022,10,2029,963
340000211353106,10,2031,1006
5105107167394390,12,2027,776
370000994853879,10,2029,6006
5105106162328205,03,2032,981
5105100568237672,11,2028,919
5105105791671852,05,2033,529
4242426756650286,03,2032,780
4111116577496815,07,2027,314
5301259957497628,05,2031,089
370000281941668,05,2033,8288
5105104261215530,01,2027,881
340000033444620,10,2028,5654
4242424440412890,10,2031,180
370000108876139,02,2029,9480
4012886238997100,03,2030,499
4242421206363259,08,2032,060
370000193255561,03,2027,4926
4000005656975241,11,2026,429
4242423255147203,05,2027,167
5301254857318743,08,2032,504
2223000888864300,07,2031,581
2223004134530624,06,2031,491
370000196455903,10,2026,3319
5301256529089529,09,2029,277
5301253419942453,11,2030,416
370000463032732,11,2033,4121
5200823797003227,07,2032,838
5200821427400706,11,2030,898
340000098611287,10,2032,5075
4242422443200056,11,2032,800
5105109212877569,07,2028,061
340000230106824,08,2026,8817
5105101007955056,10,2029,215
4242424160754554,05,2030,908
370000812705012,08,2027,7464
5200823134385154,12,2026,601
4000005586409303,02,2028,019
340000355230821,02,2030,7688
340000069484698,12,2026,7921
2223007113138426,02,2030,241
2223002188503265,05,2033,546
4111117561186073,08,2032,949
4000008472636468,05,2031,113
4242422080496272,01,2028,497
4012882665739909,11,2031,333
2223009392080402,01,2032,391
4012886940927809,09,2031,226
4000002149170902,12,2028,569
4242427839242273,02,2032,147
4000007273349859,07,2031,017
2223004835021188,01,2027,066
4111114847783005,09,2029,437
2223003117129925,01,2029,044
370000235194067,06,2033,4093
340000794775709,10,2031,9578
4012885339293229,10,2029,666
4012888157970548,10,2029,760
4242428285750314,09,2033,570
5105105143582799,04,2032,008
5301251387774015,05,2030,553
4111110339068509,03,2032,045
4000000437551379,04,2028,183
2223000822492713,08,2029,058
4111112507667013,06,2030,481
5105107373048434,04,2032,616
4012882688612109,09,2026,900
340000731466693,01,2029,1327
370000360694576,03,2031,3161
4000003531080261,06,2028,255
5200827480076705,04,2033,159
5105105477875132,04,2029,399
5200822353648185,05,2026,833
340000854698502,06,2030,7552
5301259837927422,01,2031,384
2223001815666396,06,2032,256
5200828180541360,10,2027,581
5105104354544382,08,2028,783
370000105531315,08,2031,1592
4111114625402539,11,2029,177
5301259194862428,11,2031,126
5200828423040345,06,2032,710
2223003443322012,02,2026,332
4242424107514236,08,2031,259
340000876292847,09,2032,4327
340000102557294,09,2027,3450
4000004849473362,08,2030,957
4242427035929988,02,2031,549
4111115717459865,02,2026,581
5200821196569905,06,2028,328
4000000683472486,09,2032,936
4000001073641607,12,2027,680
4000005362652753,11,2030,171
5200828579842767,11,2031,541
5301255407491567,01,2027,600
370000773202454,05,2030,9993
4012883330917425,09,2028,779
340000490157145,01,2026,6953
4012889641086859,11,2030,796
5301251803414964,07,2033,575
5200824509100996,01,2030,569
4111115105430593,06,2031,812
4111114252722712,09,2027,066
4000009201759035,05,2031,654
5301256396634639,11,2030,456
4242425208372556,03,2026,948
370000007688510,04,2029,8218
4012889555715824,01,2026,102
340000076361129,02,2032,0401
5301255991412011,05,2031,436
4242421552430587,07,2032,533
4012882786407204,03,2030,496
5105107344744467,10,2028,426
5105103856309377,01,2027,273
370000184496802,11,2031,1184
4012884472183818,01,2027,644
5301259821986202,01,2032,297
370000246049367,10,2026,3048
4000009324075103,10,2032,056
4012880597781700,05,2032,796
5105103828963160,11,2026,310
5200824952457034,06,2031,150
4012880608463215,08,2032,880
370000898254364,06,2032,3008
5105106110136312,12,2031,224
5200822769839469,01,2029,837
4242429162629480,10,2029,885
370000719795249,12,2033,5563
2223002734696548,03,2028,252
2223001940487056,04,2033,246
4111112780045044,04,2029,732
340000381680312,11,2033,2381
4242425126903698,09,2028,146
370000336859329,01,2030,5615
2223007668650809,11,2028,959
340000876959726,08,2029,4017
4012881249538555,08,2029,344
340000138958276,01,2027,5858
2223009154492548,08,2033,944
4242425890937971,01,2032,738
5105109453469787,06,2032,837
4012881291125137,03,2029,237
5105100933380256,04,2029,632
4012884464307045,08,2027,857
4111114045694053,08,2033,558
5200825801523827,10,2027,267
4012881803126227,10,2031,447
5301254498860962,10,2026,660
5301253021316104,02,2031,396
4000008704913180,02,2033,876
4242424809743398,02,2026,265
5105108815039908,05,2033,596
5200822539372627,07,2029,141
4242422119497523,07,2028,295
370000381027632,04,2033,6907
5301252469213302,10,2032,058
5200825880970006,12,2027,739
340000376894167,07,2032,0199
4012886682191267,03,2026,346
370000796401208,05,2029,6103
4242426118468583,09,2030,724
5301254914835333,05,2030,521
5200821718936913,08,2031,011
4242428238874781,12,2031,400
5200825453395581,11,2029,780
340000655263332,06,2028,6536
340000829591543,09,2029,5375
4111113599783346,10,2032,257
340000097477177,04,2030,0843
4000007844574134,08,2027,326
4242423132671292,10,2026,437
4242427506503262,05,2029,935
4012882624367123,02,2031,918
5105101429957433,11,2027,482
5301254639403557,04,2031,331
5105107573973563,09,2029,262
4111116402477287,12,2032,401
5301257377337291,05,2029,348
2223007628738793,07,2029,063
5301259777395754,02,2030,035
4111111179876480,04,2032,529
5301257661169632,02,2027,694
5105100358167337,08,2027,552
370000109871105,06,2031,6701
4012889546756085,08,2027,940
4242423103369744,06,2027,408
4111119763153562,07,2032,553
5200821260313800,05,2027,065
4000003684842871,01,2026,862
4242423319953786,11,2027,045
5200824745871046,04,2031,056
5105103415160840,09,2029,565
340000686057315,04,2026,7095
4242421886520962,11,2026,014
2223003478805733,10,2033,832
4242424307862427,09,2028,257
5200820608367452,06,2031,870
370000313421630,06,2030,7046
340000458685293,09,2031,7769
5105102647704342,01,2026,905
4012884312826881,01,2032,725
5301253534789003,04,2030,324
340000789807657,04,2029,4163
4000008405144028,12,2029,285
4242423879075780,05,2030,847
5105107793369055,06,2030,584
4111116419632080,11,2027,182
5200827230684089,12,2029,573
4111110721375801,09,2027,388
2223003249406290,12,2030,915
370000505699522,04,2031,9229
2223008390030567,12,2027,263
4000003480106034,04,2028,541
5105102979076681,07,2027,690
4111110803554828,11,2030,829
2223003590420908,08,2031,429
370000547952244,07,2032,0275
4242421437988817,08,2028,467
5200825416217880,08,2028,219
4000001977072073,04,2028,189
370000832017463,11,2032,6541
370000765122504,08,2032,1475
5301256860484479,02,2030,612
4012883010361241,11,2030,461
370000665784312,03,2026,4476
2223006374540775,12,2032,586
5301256973189858,03,2030,991
4012880407803371,09,2032,236
5105108749120642,08,2033,543
4111115650772506,06,2031,599
4000007360653478,07,2030,521
5301252294242625,02,2027,407
370000198051882,05,2032,0534
5200825513746724,01,2029,239
340000000999614,05,2033,4172
5105104799439867,09,2032,866
4111112417508208,10,2028,949
5105105839480209,11,2030,763
4242426751601649,07,2033,361
5301255908814200,12,2033,376
4242422937934830,05,2027,189
5105101454326660,09,2026,290
4111117724253349,01,2033,187
340000747502077,11,2029,3393
5301256577340493,01,2026,708
4012882411501553,05,2033,217
2223007775235833,03,2031,355
4242421947551022,05,2033,961
5105106252148604,06,2033,758
4000001192000164,03,2028,055
4242423828617229,06,2031,685
5301259202953078,08,2027,189
340000736852657,02,2031,0977
4000002539166791,06,2026,625
4000000129015980,12,2028,155
340000166397603,05,2032,6115
5105101001011781,02,2028,111
2223006449049547,08,2028,341
4242427512335980,11,2026,872
5200828119592658,04,2029,523
370000323792434,01,2029,4600
340000103355730,04,2027,9427
4242426898186629,08,2029,933
5105101155287229,11,2026,015
4012885705616888,04,2031,711
5105109255278972,12,2026,500
4111111549858127,05,2032,790
340000148473993,05,2031,7064
340000592140288,09,2026,2406
4012884616117136,01,2033,678
5200829777787507,05,2033,242
5200825880265829,03,2027,013
340000106688665,06,2026,3807
4111113797736625,04,2031,983
370000953835354,07,2029,1074
4012883803944286,04,2030,871
4242428561679229,04,2029,259
5105108325538852,04,2027,924
4242429913299112,04,2028,645
370000477396792,10,2028,7181
5200827765776862,07,2026,314
4000006809490476,06,2029,616
4242424728873979,02,2026,939
4012885156460836,09,2027,776
5301253786126474,09,2029,490
5301251341171233,06,2026,052
4000009400668862,02,2032,618
5301259551407528,11,2028,142
4000002178177471,08,2029,380
370000736917412,02,2033,3592
4000006670525707,09,2026,104
5200823898297520,01,2033,606
4111111947530112,11,2030,008
5200827165737613,11,2033,060
2223006025020821,04,2029,312
5301253287402713,12,2030,232
4242422720535943,03,2026,281
5105102265947652,07,2032,049
5301256571352304,07,2031,385
340000104938427,09,2031,6406
2223008000123406,02,2026,529
4242420629897711,09,2027,795
5301256864858603,02,2028,164
340000674721955,03,2029,4634
4242429496636052,11,2032,846
4012888741953786,09,2028,229
370000224684144,12,2031,8461
5301255613686570,04,2032,587
5200822234238966,12,2030,360
5200824970408266,09,2027,567
4111110315713292,11,2032,061
5301259714209845,06,2027,086
2223002493978186,09,2027,358
5105107986644454,03,2032,172
4000006317765831,04,2031,390
5105100428989900,03,2026,266
4012886435510979,05,2032,205
4012881257788886,10,2033,735
4242425779106037,05,2029,020
5105105327733929,08,2028,389
370000590800613,03,2026,2633
4000002090376060,06,2030,270
4111112038706009,02,2032,864
370000079767218,04,2033,8653
2223003122700272,10,2032,488
4111116659459889,11,2031,705
5200824229756358,10,2027,910
4000004446630372,02,2032,752
2223007844983116,06,2033,575
4242427032567088,12,2031,417
5301252737596785,10,2026,959
4012884529009719,06,2028,314
4111117938523313,07,2027,600
4242420741128912,11,2029,838
340000232654888,06,2033,3795
4111112721448166,02,2032,633
4242421126077377,09,2028,378
5200820769772086,05,2033,608
340000806076450,07,2031,2987
5105107581264401,11,2030,808
370000079702645,03,2028,2285
370000523280925,01,2029,6268
4000006215924464,10,2029,296
4000003290380043,01,2031,840
340000176987864,12,2026,1321
4012882012406467,12,2029,892
2223003398198763,08,2032,136
4012881791902225,05,2031,100
4242422375557101,04,2030,602
4242421556361283,12,2031,974
4111113688590883,02,2031,268
370000982572838,06,2028,6529
370000942511884,10,2033,0161
5301259019956736,12,2028,608
5301255649815995,08,2026,873
340000313068909,05,2026,9557
5200823356859654,04,2030,781
5200821366734065,01,2026,468
4012882131231630,07,2027,009
340000989441919,03,2032,6119
340000531159621,07,2031,1537
5105102077361332,08,2027,275
4000005822468139,05,2028,427
5301251829815103,05,2033,647
370000066658214,11,2026,3669
4111119323078879,03,2028,264
5105107462410271,02,2032,409
5105109500649035,06,2031,966
4000007949035288,09,2030,153
340000932553760,11,2031,0610
5105106014120057,11,2030,693
5105104701379839,01,2029,107
340000874040966,02,2029,6012
4242428284870667,02,2033,672
4000005385424537,01,2031,999
4012889312293214,11,2029,915
370000872319753,01,2031,8086
5105106753869427,07,2032,539
2223002349410301,03,2031,416
370000890754692,10,2027,5967
4111112476146312,10,2026,750
340000939681192,10,2028,0379
4111113993442697,03,2031,132
370000056148937,10,2030,2152
2223008071595045,05,2029,331
5105101093734787,12,2030,197
5200827946925248,07,2028,787
4000001442311676,11,2032,764
340000718651903,05,2029,6694
4242421774631012,12,2027,518
4111112141862798,02,2028,869
4111115841130424,03,2033,412
5301252296057393,11,2026,884
340000557989828,10,2029,1386
370000823708674,01,2027,2426
4242423686226543,08,2029,830
2223005734310838,12,2032,826
5301253949769616,12,2026,907
2223005614148753,03,2033,990
340000004642954,01,2028,5966
5200826676126076,04,2031,137
340000556293560,03,2032,7946
2223000176520317,04,2030,217
4242420811014612,10,2029,197
5200824873040067,04,2032,690
5301254752403301,06,2028,269
370000592509378,11,2030,6429
2223005003913551,03,2031,881
2223001250579054,12,2026,788
4012888793585957,05,2026,841
5200824933325615,05,2032,771
340000366850914,04,2029,6364
5200829219676243,04,2028,486
2223004997785554,06,2028,703
5105103752038484,06,2026,325
5105103574118076,10,2031,954
4000009555925992,08,2033,588
4111110096515866,03,2028,126
340000918953471,05,2032,2598
340000741993595,05,2032,7646
4242425564168325,05,2030,227
2223004402106594,07,2026,391
4242429550127980,10,2028,366
5105107404703494,05,2028,125
4111116775048988,10,2030,764
2223006871841064,03,2028,104
4111119186646234,04,2026,775
370000307085359,06,2029,3526
4000009948887586,08,2032,714
2223005740309675,11,2029,904
5200826757695312,07,2028,589
340000026317478,05,2027,2346
340000597052579,03,2032,7659
5301258925204769,05,2031,278
4000003438007763,11,2027,115
5301250655807978,03,2031,670
5200825491090137,01,2028,582
5200822876953526,01,2026,488
2223000273255627,12,2026,794
340000880596365,08,2027,0659
2223000539242146,04,2031,893
5200820604076370,08,2029,794
4111117768057671,09,2027,516
4242427175005151,06,2031,208
5301254832777955,12,2026,567
4111113534346340,03,2026,594
4000002603558527,07,2032,417
340000845605228,04,2027,3535
2223003810832007,02,2026,904
4242421720379005,03,2026,842
4000009094565895,05,2032,811
4242425401250427,06,2031,481
340000724064992,05,2029,5735
4242421704586583,08,2032,891
4111119995596117,01,2030,061
5105101364785989,07,2029,832
4242422907136036,06,2031,357
370000929993220,03,2028,8674
5301252229527637,01,2026,560
4242422875523892,08,2033,947
4242420311085476,03,2030,861
2223001499115793,07,2033,059
2223000420942507,12,2031,783
340000382079308,11,2026,1157
4242427934559225,02,2027,896
4012881816921507,04,2029,935
4242420125690388,03,2027,406
5105103279012178,10,2026,360
4111114988498447,07,2033,097
370000073790414,01,2030,0651
4012884622106842,03,2032,521
4242426711300753,11,2032,130
5301253440331544,10,2031,597
5301257083414939,02,2032,428
370000120231057,08,2027,2322
4000007350174014,04,2026,459
340000149690140,03,2032,6499
4111116629989031,03,2028,294
340000713740420,05,2026,5938
5105103948517615,05,2033,728
370000357319807,10,2031,8315
370000303258240,06,2031,7212
5200825824189424,07,2029,335
370000098770318,02,2031,8801
4111113273480482,07,2033,784
4012888817512763,02,2031,819
5200821832704445,03,2027,231
4000001854255114,01,2028,973
4000006828939503,08,2032,374
5301256255405683,11,2029,668
4242421181483163,06,2026,448
5301259591671794,09,2026,666
370000191241647,10,2032,9477
2223000104488140,05,2026,701
5200820250970652,03,2026,335
340000335406509,03,2032,8830
4242424039766623,11,2031,782
4242427075087838,10,2028,024
4012887273223667,02,2030,274
370000479189609,05,2029,8801
4012884213083228,07,2030,713
5301255410302215,11,2030,106
4012883940351692,02,2030,486
5105109637427610,09,2030,241
5301252617153327,08,2031,112
4000007128836704,01,2027,767
5200822638527600,02,2033,753
4111116412566053,05,2029,049
2223008965893068,05,2028,114
4000002830564652,12,2028,803
5105101535459118,02,2031,957
5301253579653643,12,2033,709
4111117708898309,10,2033,198
5200829470531707,10,2026,013
4111119664332463,11,2026,279
5105102498596995,08,2031,873
4242426015591826,07,2030,363
4012889235436247,11,2027,299
370000979075423,04,2030,0580
340000562622026,01,2027,6992
5301257749592490,08,2030,065
5301255728023388,10,2027,476
4000005745286436,03,2033,820
4000004240988752,03,2031,922
4111111288060927,11,2030,099
370000641561214,09,2030,4889
5200825785809440,06,2030,106
4111113887134707,08,2031,675
4111117572241180,01,2028,098
2223007648282665,05,2026,336
4242420794963892,11,2033,855
5301251676855608,07,2029,387
4111118703109478,01,2030,745
4111113051367885,10,2032,883
4012884456498612,04,2027,012
4242424444626255,09,2032,391
5301259546216257,12,2031,285
4012887908676370,09,2029,121
370000931521118,01,2033,3675
4111114120292229,09,2026,182
5200821718522986,02,2030,281
5301251747972499,10,2033,569
4012886362841777,04,2031,631
4111115544458130,01,2030,317
5105109815253812,06,2031,861
370000870885599,09,2026,4297
370000082301310,11,2031,0372
4012882564492410,03,2028,018
5200820799729742,09,2029,193
4000004682754548,02,2031,806
5200829123920968,01,2030,977
4111110101703820,05,2028,333
2223008243121597,06,2031,562
4000000004915825,02,2028,149
370000093950204,02,2027,4480
5301259948419178,06,2032,255
340000799087928,11,2030,0046
5105102318469720,01,2026,430
4111111194582592,12,2026,563
4111112009779795,11,2031,089
4000005631761823,01,2026,136
340000777932780,10,2030,9878
4012882754829280,08,2029,549
340000418283437,05,2026,3054
4012884564242373,06,2029,939
5200829250684163,10,2027,637
4000009614768920,06,2033,843
4242426092319281,06,2031,472
340000283711850,05,2030,0514
370000572469536,02,2028,6103
4000009554599749,05,2033,054
5200827633961993,07,2026,237
5301257779036178,03,2030,877
370000538926868,11,2032,8655
5200822987832460,11,2031,457
4111119374018642,09,2033,421
4242423883090825,03,2032,778
5200827556545757,10,2033,227
340000750511874,09,2030,2932
5301250538179256,07,2031,437
340000769348078,10,2033,7829
2223006263158440,09,2032,929
5301257245503322,07,2032,730
4111113313431685,05,2027,872
